 
ZENNER DO BRASIL INSTRUMENTOS DE MEDICAO LTDA    FILIAL: ZRB;                                                                    13/04/26 17:33 PAGINA:   1/1
RELATORIO VINCULO DE LACRE COM O LOTE;LACRES: 0 A 999999999;
________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________;
COD. LACRE;LACRE;DATA VINCULO;SEQ. LOTE;TIPO;LOTE PRODUTO;COD. INMETRO;LOTE INMETRO;
435138;ECH2763763;03/09/2024;495023;G;I23Z0001098D;;;
435139;ECH2763775;03/09/2024;483814;G;I23Z0001086D;;;
435140;ECH2763787;03/09/2024;495024;G;I23Z0001100D;;;
435141;ECH2763799;03/09/2024;495025;G;I23Z0001107D;;;
435142;ECH2763805;03/09/2024;495026;G;I23Z0001108D;;;
435143;ECH2763817;08/08/2024;484093;G;F24Z0001369D;;;
435144;ECH2763829;08/08/2024;484092;G;F24Z0001368D;;;
435145;ECH2763830;08/08/2024;484094;G;F24Z0001370D;;;
435146;ECH2763842;08/08/2024;484095;G;F24Z0001371D;;;
435147;ECH2763854;08/08/2024;484098;G;F24Z0001374D;;;
435148;ECH2763866;08/08/2024;484099;G;F24Z0001375D;;;
435149;ECH2763878;08/08/2024;484101;G;F24Z0001377D;;;
435150;ECH2763880;08/08/2024;484103;G;F24Z0001379D;;;
435151;ECH2763891;08/08/2024;484102;G;F24Z0001378D;;;
435152;ECH2763908;08/08/2024;484104;G;F24Z0001380D;;;
435153;ECH2763910;08/08/2024;484106;G;F24Z0001382D;;;
435154;ECH2763921;08/08/2024;484107;G;F24Z0001383D;;;
435155;ECH2763933;08/08/2024;484108;G;F24Z0001384D;;;
435156;ECH2763945;08/08/2024;484109;G;F24Z0001385D;;;
435157;ECH2763957;08/08/2024;484111;G;F24Z0001387D;;;
435158;ECH2763969;08/08/2024;484112;G;F24Z0001388D;;;
435159;ECH2763970;08/08/2024;484113;G;F24Z0001389D;;;
435160;ECH2763982;08/08/2024;484114;G;F24Z0001390D;;;
435161;ECH2763994;09/08/2024;484105;G;F24Z0001381D;;;
435162;ECH2764007;09/08/2024;484110;G;F24Z0001386D;;;
435163;ECH2764019;09/08/2024;484115;G;F24Z0001391D;;;
435164;ECH2764020;09/08/2024;484127;G;F24Z0001403D;;;
435165;ECH2764032;09/08/2024;484129;G;F24Z0001405D;;;
435166;ECH2764044;09/08/2024;484130;G;F24Z0001406D;;;
435167;ECH2764056;09/08/2024;484131;G;F24Z0001407D;;;
435168;ECH2764068;09/08/2024;484097;G;F24Z0001373D;;;
435169;ECH2764070;09/08/2024;484118;G;F24Z0001394D;;;
435170;ECH2764081;09/08/2024;484120;G;F24Z0001396D;;;
435171;ECH2764093;09/08/2024;484121;G;F24Z0001397D;;;
435172;ECH2764100;09/08/2024;484123;G;F24Z0001399D;;;
435173;ECH2764111;09/08/2024;484124;G;F24Z0001400D;;;
435174;ECH2764123;09/08/2024;484125;G;F24Z0001401D;;;
435175;ECH2764135;09/08/2024;484126;G;F24Z0001402D;;;
435176;ECH2764147;09/08/2024;484128;G;F24Z0001404D;;;
435177;ECH2764159;09/08/2024;484132;G;F24Z0001408D;;;
435178;ECH2764160;09/08/2024;484133;G;F24Z0001409D;;;
435179;ECH2764172;09/08/2024;484134;G;F24Z0001410D;;;
435180;ECH2764184;09/08/2024;484135;G;F24Z0001411D;;;
435181;ECH2764196;09/08/2024;484136;G;F24Z0001412D;;;
435182;ECH2764202;09/08/2024;484137;G;F24Z0001413D;;;
435183;ECH2764214;09/08/2024;484138;G;F24Z0001414D;;;
435184;ECH2764226;09/08/2024;484139;G;F24Z0001415D;;;
435185;ECH2764238;09/08/2024;484140;G;F24Z0001416D;;;
435186;ECH2764240;09/08/2024;484096;G;F24Z0001372D;;;
435187;ECH2764251;09/08/2024;484100;G;F24Z0001376D;;;
435188;ECH2764263;09/08/2024;484116;G;F24Z0001392D;;;
435189;ECH2764275;09/08/2024;484117;G;F24Z0001393D;;;
435190;ECH2764287;09/08/2024;484119;G;F24Z0001395D;;;
435191;ECH2764299;09/08/2024;484122;G;F24Z0001398D;;;
435192;ECH2764305;09/08/2024;484141;G;F24Z0001417D;;;
435193;ECH2764317;09/08/2024;481702;G;D23Z0025505D;;;
435194;ECH2764329;09/08/2024;481703;G;D23Z0025506D;;;
435195;ECH2764330;09/08/2024;481704;G;D23Z0025507D;;;
435196;ECH2764342;09/08/2024;481705;G;D23Z0025508D;;;
435197;ECH2764354;09/08/2024;481706;G;D23Z0025509D;;;
435198;ECH2764366;09/08/2024;481707;G;D23Z0025510D;;;
435199;ECH2764378;09/08/2024;481708;G;D23Z0025511D;;;
435200;ECH2764380;09/08/2024;481709;G;D23Z0025512D;;;
435201;ECH2764391;09/08/2024;481710;G;D23Z0025513D;;;
435202;ECH2764408;09/08/2024;481711;G;D23Z0025514D;;;
435203;ECH2764410;09/08/2024;481712;G;D23Z0025515D;;;
435204;ECH2764421;09/08/2024;481713;G;D23Z0025516D;;;
435205;ECH2764433;09/08/2024;481714;G;D23Z0025517D;;;
435206;ECH2764445;09/08/2024;481715;G;D23Z0025518D;;;
435207;ECH2764457;09/08/2024;481716;G;D23Z0025519D;;;
435208;ECH2764469;09/08/2024;481717;G;D23Z0025520D;;;
435209;ECH2764470;09/08/2024;481718;G;D23Z0025521D;;;
435210;ECH2764482;09/08/2024;481719;G;D23Z0025522D;;;
435211;ECH2764494;09/08/2024;481720;G;D23Z0025523D;;;
435212;ECH2764500;09/08/2024;481721;G;D23Z0025524D;;;
435213;ECH2764512;09/08/2024;481722;G;D23Z0025525D;;;
435214;ECH2764524;09/08/2024;481723;G;D23Z0025526D;;;
435215;ECH2764536;09/08/2024;481724;G;D23Z0025527D;;;
435216;ECH2764548;09/08/2024;481725;G;D23Z0025528D;;;
435217;ECH2764550;10/08/2024;481738;G;D23Z0025541D;;;
435218;ECH2764561;10/08/2024;481739;G;D23Z0025542D;;;
435219;ECH2764573;10/08/2024;481740;G;D23Z0025543D;;;
435220;ECH2764585;10/08/2024;481741;G;D23Z0025544D;;;
435221;ECH2764597;10/08/2024;481742;G;D23Z0025545D;;;
435222;ECH2764603;10/08/2024;481743;G;D23Z0025546D;;;
435223;ECH2764615;10/08/2024;481744;G;D23Z0025547D;;;
435224;ECH2764627;10/08/2024;481745;G;D23Z0025548D;;;
435225;ECH2764639;10/08/2024;481747;G;D23Z0025550D;;;
435226;ECH2764640;10/08/2024;481748;G;D23Z0025551D;;;
435227;ECH2764652;10/08/2024;481749;G;D23Z0025552D;;;
435228;ECH2764664;10/08/2024;481726;G;D23Z0025529D;;;
435229;ECH2764676;10/08/2024;481727;G;D23Z0025530D;;;
435230;ECH2764688;10/08/2024;481728;G;D23Z0025531D;;;
435231;ECH2764690;10/08/2024;481729;G;D23Z0025532D;;;
435232;ECH2764706;10/08/2024;481730;G;D23Z0025533D;;;
435233;ECH2764718;10/08/2024;481731;G;D23Z0025534D;;;
435234;ECH2764720;10/08/2024;481732;G;D23Z0025535D;;;
435235;ECH2764731;10/08/2024;481733;G;D23Z0025536D;;;
435236;ECH2764743;10/08/2024;481735;G;D23Z0025538D;;;
435237;ECH2764755;10/08/2024;481736;G;D23Z0025539D;;;
435238;ECH2764767;10/08/2024;481737;G;D23Z0025540D;;;
435239;ECH2764779;10/08/2024;481763;G;D23Z0025566D;;;
435240;ECH2764780;10/08/2024;481764;G;D23Z0025567D;;;
435241;ECH2764792;10/08/2024;481765;G;D23Z0025568D;;;
435242;ECH2764809;10/08/2024;481766;G;D23Z0025569D;;;
435243;ECH2764810;10/08/2024;481767;G;D23Z0025570D;;;
435244;ECH2764822;10/08/2024;481768;G;D23Z0025571D;;;
435245;ECH2764834;10/08/2024;481769;G;D23Z0025572D;;;
435246;ECH2764846;10/08/2024;481770;G;D23Z0025573D;;;
435247;ECH2764858;10/08/2024;481771;G;D23Z0025574D;;;
435248;ECH2764860;10/08/2024;481772;G;D23Z0025575D;;;
435249;ECH2764871;10/08/2024;481773;G;D23Z0025576D;;;
435250;ECH2764883;10/08/2024;481751;G;D23Z0025554D;;;
435251;ECH2764895;10/08/2024;481753;G;D23Z0025556D;;;
